route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
451,0#18,0#1780-25,"PONTE MAMMOLO (MB)","17451799",1,"",11573,0,0
451,0#18,0#1780-26,"CINECITTA' (MA)","17451804",0,"",11574,0,0
451,0#18,0#1780-27,"PONTE MAMMOLO (MB)","17451800",1,"",11573,0,0
451,0#18,0#1780-28,"CINECITTA' (MA)","17451774",0,"",11574,0,0
451,0#18,0#1780-29,"PONTE MAMMOLO (MB)","17451801",1,"",11573,0,0
451,0#18,0#1780-30,"CINECITTA' (MA)","17451778",0,"",11574,0,0
451,0#18,0#1780-31,"PONTE MAMMOLO (MB)","17451773",1,"",11573,0,0
451,0#18,0#1780-32,"CINECITTA' (MA)","17451775",0,"",11574,0,0
451,0#18,0#1780-33,"PONTE MAMMOLO (MB)","17451777",1,"",11573,0,0
451,0#18,0#1780-34,"CINECITTA' (MA)","17451776",0,"",11574,0,0
451,0#1,0#1781-2,"PONTE MAMMOLO (MB)","20766976",1,"",700095,0,0
451,0#1,0#1781-3,"CINECITTA' (MA)","20766977",0,"",11574,0,0
451,0#1,0#1781-4,"PONTE MAMMOLO (MB)","20766978",1,"",11573,0,0
451,0#1,0#1781-5,"CINECITTA' (MA)","20766979",0,"",11574,0,0
451,0#1,0#1781-6,"PONTE MAMMOLO (MB)","20766980",1,"",11573,0,0
451,0#1,0#1781-7,"CINECITTA' (MA)","20766981",0,"",11574,0,0
451,0#1,0#1781-8,"PONTE MAMMOLO (MB)","20766982",1,"",11573,0,0
451,0#1,0#1781-9,"CINECITTA' (MA)","20766983",0,"",11574,0,0
451,0#1,0#1781-10,"PONTE MAMMOLO (MB)","20766996",1,"",11573,0,0
451,0#1,0#1781-11,"CINECITTA' (MA)","20766997",0,"",11574,0,0
451,0#1,0#1781-12,"PONTE MAMMOLO (MB)","20766998",1,"",11573,0,0
451,0#1,0#1781-13,"CINECITTA' (MA)","20766999",0,"",11574,0,0
451,0#1,0#1781-14,"PONTE MAMMOLO (MB)","20767000",1,"",11573,0,0
451,0#1,0#1781-15,"CINECITTA' (MA)","20766984",0,"",11574,0,0
451,0#1,0#1781-16,"PONTE MAMMOLO (MB)","20766985",1,"",11573,0,0
451,0#1,0#1781-17,"CINECITTA' (MA)","20766986",0,"",11574,0,0
451,0#1,0#1781-18,"PONTE MAMMOLO (MB)","20766987",1,"",11573,0,0
451,0#1,0#1781-19,"CINECITTA' (MA)","20766988",0,"",11574,0,0
451,0#1,0#1781-20,"PONTE MAMMOLO (MB)","20766989",1,"",11573,0,0
451,0#1,0#1781-21,"CINECITTA' (MA)","20766990",0,"",11574,0,0
451,0#1,0#1781-22,"PONTE MAMMOLO (MB)","20766991",1,"",11573,0,0
451,0#1,0#1781-23,"CINECITTA' (MA)","20766992",0,"",11574,0,0
451,0#1,0#1781-24,"PONTE MAMMOLO (MB)","20766993",1,"",11573,0,0
451,0#1,0#1781-25,"CINECITTA' (MA)","20766994",0,"",11574,0,0
451,0#1,0#1781-26,"PONTE MAMMOLO (MB)","20766995",1,"",11573,0,0
451,0#1,0#1781-27,"CINECITTA' (MA)","20767001",0,"",11574,0,0
451,0#1,0#1781-28,"PONTE MAMMOLO (MB)","20767002",1,"",11573,0,0
451,0#1,0#1781-29,"CINECITTA' (MA)","20767003",0,"",11574,0,0
451,0#1,0#1781-30,"PONTE MAMMOLO (MB)","20767004",1,"",11573,0,0
451,0#1,0#1781-31,"CINECITTA' (MA)","20767005",0,"",11574,0,0
451,0#1,0#1781-32,"PONTE MAMMOLO (MB)","20767006",1,"",11573,0,0
451,0#29,0#1782-2,"CINECITTA' (MA)","24143798",0,"",700094,0,0
451,0#29,0#1782-3,"PONTE MAMMOLO (MB)","24143802",1,"",11573,0,0
451,0#29,0#1782-4,"CINECITTA' (MA)","24143801",0,"",11574,0,0
451,0#29,0#1782-5,"PONTE MAMMOLO (MB)","24143800",1,"",11573,0,0
451,0#29,0#1782-6,"CINECITTA' (MA)","24143799",0,"",11574,0,0
451,0#29,0#1782-7,"PONTE MAMMOLO (MB)","24143804",1,"",11573,0,0
451,0#29,0#1782-8,"CINECITTA' (MA)","24143803",0,"",11574,0,0
451,0#29,0#1782-9,"PONTE MAMMOLO (MB)","24143805",1,"",11573,0,0
451,0#29,0#1782-10,"CINECITTA' (MA)","24143806",0,"",11574,0,0
451,0#29,0#1782-11,"PONTE MAMMOLO (MB)","24143807",1,"",11573,0,0
451,0#29,0#1782-12,"CINECITTA' (MA)","24143808",0,"",11574,0,0
451,0#29,0#1782-13,"PONTE MAMMOLO (MB)","24143789",1,"",11573,0,0
451,0#29,0#1782-14,"CINECITTA' (MA)","24143788",0,"",11574,0,0
451,0#29,0#1782-15,"PONTE MAMMOLO (MB)","24143790",1,"",11573,0,0
451,0#29,0#1782-16,"CINECITTA' (MA)","24143791",0,"",11574,0,0
451,0#29,0#1782-17,"PONTE MAMMOLO (MB)","24143797",1,"",11573,0,0
451,0#29,0#1782-18,"CINECITTA' (MA)","24143793",0,"",11574,0,0
451,0#29,0#1782-19,"PONTE MAMMOLO (MB)","24143795",1,"",11573,0,0
451,0#29,0#1782-20,"CINECITTA' (MA)","24143792",0,"",11574,0,0
451,0#29,0#1782-21,"PONTE MAMMOLO (MB)","24143796",1,"",11573,0,0
451,0#29,0#1782-22,"CINECITTA' (MA)","24143794",0,"",11574,0,0
451,0#29,0#1783-2,"PONTE MAMMOLO (MB)","24143817",1,"",700095,0,0
451,0#29,0#1783-3,"CINECITTA' (MA)","24143832",0,"",11574,0,0
451,0#29,0#1783-4,"PONTE MAMMOLO (MB)","24143822",1,"",11573,0,0
451,0#29,0#1783-5,"CINECITTA' (MA)","24143818",0,"",11574,0,0
451,0#29,0#1783-6,"PONTE MAMMOLO (MB)","24143823",1,"",11573,0,0
451,0#29,0#1783-7,"CINECITTA' (MA)","24143809",0,"",11574,0,0
451,0#29,0#1783-8,"PONTE MAMMOLO (MB)","24143824",1,"",11573,0,0
451,0#29,0#1783-9,"CINECITTA' (MA)","24143810",0,"",11574,0,0
451,0#29,0#1783-10,"PONTE MAMMOLO (MB)","24143826",1,"",11573,0,0
451,0#29,0#1783-11,"CINECITTA' (MA)","24143812",0,"",11574,0,0
451,0#29,0#1783-12,"PONTE MAMMOLO (MB)","24143827",1,"",11573,0,0
451,0#29,0#1783-13,"CINECITTA' (MA)","24143813",0,"",11574,0,0
451,0#29,0#1783-14,"PONTE MAMMOLO (MB)","24143825",1,"",11573,0,0
451,0#29,0#1783-15,"CINECITTA' (MA)","24143811",0,"",11574,0,0
451,0#29,0#1783-16,"PONTE MAMMOLO (MB)","24143821",1,"",11573,0,0
451,0#29,0#1783-17,"CINECITTA' (MA)","24143816",0,"",11574,0,0
451,0#29,0#1783-18,"PONTE MAMMOLO (MB)","24143828",1,"",11573,0,0
451,0#29,0#1783-19,"CINECITTA' (MA)","24143814",0,"",11574,0,0
451,0#29,0#1783-20,"PONTE MAMMOLO (MB)","24143829",1,"",11573,0,0
451,0#29,0#1783-21,"CINECITTA' (MA)","24143815",0,"",11574,0,0
451,0#29,0#1783-22,"PONTE MAMMOLO (MB)","24143819",1,"",11573,0,0
451,0#29,0#1783-23,"CINECITTA' (MA)","24143830",0,"",11574,0,0
451,0#29,0#1783-24,"PONTE MAMMOLO (MB)","24143820",1,"",11573,0,0
451,0#29,0#1783-25,"CINECITTA' (MA)","24143831",0,"",11574,0,0
451,0#1,0#1784-2,"PONTE MAMMOLO (MB)","22374445",1,"",700095,0,0
451,0#1,0#1784-3,"CINECITTA' (MA)","22374442",0,"",11574,0,0
451,0#1,0#1784-4,"PONTE MAMMOLO (MB)","22374432",1,"",11573,0,0
451,0#1,0#1784-5,"CINECITTA' (MA)","22374443",0,"",11574,0,0
451,0#1,0#1784-6,"PONTE MAMMOLO (MB)","22374433",1,"",11573,0,0
451,0#1,0#1784-7,"CINECITTA' (MA)","22374444",0,"",11574,0,0
451,0#1,0#1784-8,"PONTE MAMMOLO (MB)","22374434",1,"",11573,0,0
451,0#1,0#1784-9,"CINECITTA' (MA)","22374435",0,"",11574,0,0
451,0#1,0#1784-10,"PONTE MAMMOLO (MB)","22374426",1,"",11573,0,0
451,0#1,0#1784-11,"CINECITTA' (MA)","22374436",0,"",11574,0,0
451,0#1,0#1784-12,"PONTE MAMMOLO (MB)","22374427",1,"",11573,0,0
451,0#1,0#1784-13,"CINECITTA' (MA)","22374437",0,"",11574,0,0
451,0#1,0#1784-14,"PONTE MAMMOLO (MB)","22374430",1,"",11573,0,0
451,0#1,0#1784-15,"CINECITTA' (MA)","22374441",0,"",11574,0,0
451,0#1,0#1784-16,"PONTE MAMMOLO (MB)","22374431",1,"",11573,0,0
451,0#1,0#1784-17,"CINECITTA' (MA)","22374438",0,"",11574,0,0
451,0#1,0#1784-18,"PONTE MAMMOLO (MB)","22374428",1,"",11573,0,0
451,0#1,0#1784-19,"CINECITTA' (MA)","22374439",0,"",11574,0,0
451,0#1,0#1784-20,"PONTE MAMMOLO (MB)","22374429",1,"",11573,0,0
451,0#1,0#1784-21,"CINECITTA' (MA)","22374440",0,"",11574,0,0
451,0#18,0#1785-2,"CINECITTA' (MA)","17451810",0,"",700094,0,0
451,0#18,0#1785-3,"PONTE MAMMOLO (MB)","17451811",1,"",11573,0,0
451,0#18,0#1785-4,"CINECITTA' (MA)","17451828",0,"",11574,0,0
451,0#18,0#1785-5,"PONTE MAMMOLO (MB)","17451831",1,"",11573,0,0
451,0#18,0#1785-6,"CINECITTA' (MA)","17451829",0,"",11574,0,0
451,0#18,0#1785-7,"PONTE MAMMOLO (MB)","17451830",1,"",11573,0,0
451,0#18,0#1785-8,"CINECITTA' (MA)","17451832",0,"",11574,0,0
451,0#18,0#1785-9,"PONTE MAMMOLO (MB)","17451806",1,"",11573,0,0
